commenter,date,comment,type,assigned,solution,done,notes
Alessandro Tavano,2022-09-28T11:20:57Z,Agreed,,,,,
Alessandro Tavano,2022-09-28T11:27:32Z,very well stated,,,,,
Alicia Megan Brown,2022-10-09T06:39:02Z,"or an indefinite article for 'vast heterogeneity,' that would clear up what is (not) being predicted",,,,,
Alicia Megan Brown,2022-10-09T06:42:53Z,"(but yes, would then also require ""seem"" > ""seems"")",,,,,
Alicia Megan Brown,2022-10-09T06:47:37Z,"According to the PDF, the full sentence is ""The authors argue that the observed heterogeneity acrossanalysts in Silberzahn et al. (2018) might have been driven by flexibilityin statistically interpreting the research question.""",,,,,
Allison Hilger,2022-10-03T17:29:11Z,"I suggest replacing with the word ""treatment""",,,,,
Allison Hilger,2022-10-03T17:31:21Z,I'm in awe of this figure,,,,,
Andrés Buxó Lugo,2022-10-07T19:40:00Z,Just marking as a reminder that this link is not included yet.,,,,,
Andrés Buxó Lugo,2022-10-07T20:25:45Z,"One aspect of the project that hasn't been talked about much is that this was a case where the project was pretty much guaranteed to get published regardless of what our individual analyses found. Unfortunately, this isn't standard for our fields yet, and so it's something I can imagine having an impact on the relationship between our priors and our findings. Of course, this is something we should all be avoiding/resisting; I just wanted to point this out as another factor that might increase the chance that we are honest/transparent about analyses in our research.",,,,,
Anonymous,2022-10-02T08:12:22Z,_Marked as resolved_,,,,,
Beth MacLeod,2022-10-03T18:19:57Z,Should 'hope' be 'bear'?  I'm not sure where 'hope' came from.,,,,,
Christina Bjorndahl,2022-10-11T02:20:54Z,"The way this is phrased, one might think that the analyses were distributed independently, but they weren’t, since they were always distributed together with the other analyses from that team. I think this should be made clear since it could have an effect on the ratings.",,,,,
Christina Bjorndahl,2022-10-11T02:47:15Z,"HAHAHA!  Well, it looks like we all ignored you and gave you advice anyway.  I'll use the line my mother uses on me and say that it's given from a place of love...  Does that make it better?  ;)",,,,,
Christina Bjorndahl,2022-10-11T02:48:40Z,"Yes, this is confusing to me as well: Later on you say that 46 teams submitted their analyses by the established deadline, so does that mean that no one submitted after peer review? In which case, why bring it up here?  In general, I'm confused about which analyses and analyst teams were excluded, and how those decisions were arrived at.",,,,,
Christina Bjorndahl,2022-10-11T02:50:01Z,"Echoing the comments here that you need to be explicit about how you went from 46 to 30 analyses; also, were only individual analyses discarded, or all the analyses from entire teams?",,,,,
Christina Bjorndahl,2022-10-11T02:52:32Z,"It's not totally clear to me how the 170 individual analyses is related to the 104 models.  Maybe I'm just missing something, but please clarify.",,,,,
Christina Bjorndahl,2022-10-11T02:54:50Z,This meaningfulness of this quote is lost on me.  What are we supposed to get from it?,,,,,
Christina Bjorndahl,2022-10-11T02:58:41Z,"Outlier treatment needs to be discussed.  There were many different approaches to how outliers were assessed and dealt with, and this will have a large effect on the results and the variability.  Thinking in particular about creak as the source of outliers for many f0 measurements.",,,,,
Christina Bjorndahl,2022-10-11T03:00:55Z,"Echoing this: If the duration is of vowels, then they need to say it (and in which case, the incomplete neutralization data is irrelevant); if it combines different segment classes, then this is uninterpretable.",,,,,
Christina Bjorndahl,2022-10-11T03:04:08Z,"It seems here that you need to consider experimenter ""stake"" in the project; since it's not ""our"" research, the teams aren't going to have as strong opinions, which might have altered how teams approached the task.  Also, I might address the possibility that researchers didn’t fully understand the experiment design at the point that we had to make that judgement. Remember that you even had to send out a clarifying email re: the AF and ANF conditions, so it seems many people could have had a different opinion if they'd understood the design more fully.",,,,,
Christina Bjorndahl,2022-10-11T03:31:09Z,"Some typos / general small issues with presentation:- missing apostrophe in plural possessives, as in ""the authors results"" (authors')- inconsistencies w.r.t. British and American spelling conventions (modelling and modeling)- it's very difficult to read the figures when rendered in grey scale (as in printing it out); could you add some additional annotations to make this easier?",,,,,
Christina Bjorndahl,2022-10-11T03:32:29Z,"Here it's clearly stated that the ANF and AF conditions are just fillers. This was not conveyed clearly to the analysis teams, and conveying it might have cut down some of the variability in analyses and effect sizes found by discouraging groups from trying to include measurements from those filler conditions. This could merit a paragraph in the discussion section (though not here)",,,,,
Christina Bjorndahl,2022-10-11T03:33:12Z,"It's not clear whether all 46 submitted teams' work were reviewed by other teams, or only the 30 included in quantitative analyses.",,,,,
Christina Bjorndahl,2022-10-11T03:34:42Z,"It would be clearer to add an example to the measure of uniqueness definition.  This may be common in Many Analyses projects, but the paper will, I think, have broad interest to linguists, and so would be helpful.  From N. Warner: I would ask for an actual hypothetical example from this project. Something like ""For example, if one team used LMEs to analyze two dependent variables (adjective duration and peak f0 during adjective), both including the same three independent variables, and an additional ... test of ... on a third dependent variable (...), the pair of analyses consisting of the two LMEs with different dependent variables would have X of ... and Y of ..., leading to SDI of ..."" The could maybe go further with ""An analysis team that submitted 5 different analyses of different dependent variables, with each of them using a different statistical method and several different predictor variables, might have an SDI of ..., while one submitting just two analyses, which differ only in dependent variable, would have one of ....""",,,,,
Christina Bjorndahl,2022-10-11T03:36:03Z,"This really sounds like the descriptive statistics given describe the individual analysts, rather than the team averages. It did mention team averages above, but here where it says that ""analysts had"" a range of years post PhD from -3.8 to 12.4, that really sounds like all groups containing someone with more seniority than that got excluded.",,,,,
Christina Bjorndahl,2022-10-11T03:37:36Z,"N. Warner: I think this method of ""shrinkage"" of the effect sizes really needs to be explained more thoroughly, ideally with an example. Is this what was explained on p. 19 (of the pdf)? I can't even tell if that's where the explanation of it was, and it's crucial to understand this, since it reduced the percentage of analyses with significant/non-zero effects from about 22% to 16%. If I'm just being dense here and it's explained, then this needs an ""as explained in ... above.""",,,,,
Christina Bjorndahl,2022-10-11T03:38:19Z,"N. Warner: I think this is an overly positive interpretation. Rating an analysis as publishable with major revision leaves a lot of leeway for pretty bad analyses, since major revision can include changing every aspect that was used in these analyses, such as dependent variables, measurement time period, statistical model, etc.",,,,,
Christina Bjorndahl,2022-10-11T03:39:56Z,"This would be an ideal place to elaborate discussion of whether some teams lacked expertise in phonetics and joined the project thinking they would be doing only the statistical portion. One of the analyses we reviewed  explicitly stated that they lacked phonetics training and weren't going to learn now, so they used what they could immediately and obviously extract from the files without any phonetic methods. But there probably were some other teams like that.",,,,,
Christina Bjorndahl,2022-10-11T03:41:27Z,"This section would also be an excellent place to add a paragraph about the role of journal reviewers and editors in catching poor choices of dependent variable, measurement method, time span over which measured, etc. These are very typical items to bring up during the review process, regardless of which statistical method is preferred, and many of the analyses in the current project would not have gotten through review at a phonetics journal.  I can't help but wonder if there were a second round (namely, if we treated all analyses as a “revise and resubmit”), would the results start to converge?",,,,,
Dominic Schmitz,2022-09-28T07:32:39Z,"this should be either lowercase (if English) or ""Banane"" (if German)",,,,,
Dominic Schmitz,2022-09-28T07:34:19Z,times,,,,,
Dorota Krajewska,2022-10-10T18:34:44Z,"delete "")""?",,,,,
Eleonora Beier,2022-10-07T19:34:04Z,"I think somewhere in this section or elsewhere, it should also be mentioned that each team chose how to force-align the textgrids to the correct word and phoneme boundaries. We saw lots of variability for how this step was taken",,,,,
Eleonora Beier,2022-10-07T19:40:28Z,does this mean significant?,,,,,
Eleonora Beier,2022-10-07T19:50:53Z,"I agree with this, and in addition it would be useful to know which of these analyses were performed on which parts of the sentence. For example, it might be that there were more models finding significant effects for the adjective as opposed to the noun regions? Perhaps there could be a more detailed version of this figure (i.e. split by acoustic variable analyzed and region analyzed) in the supplementary materials",,,,,
Emiel Krahmer,2022-10-10T18:06:49Z,"I agree with (other) Emiel! Perhaps write something like: """"researchers may find themselves exploring many possible analytic pipelines, but only reporting a selected few”",,,,,
Emiel Krahmer,2022-10-10T18:07:43Z,"Yes, I agree -- I am assuming the topic whether soccer referees are more likely to give red cards to dark-skin-toned players",,,,,
Emiel Krahmer,2022-10-10T18:10:13Z,"Would be good to reiterate that this is averaged over teams (it would be interesting to also see figure for individual researchers -- was there much agreement within analysis teams? my guess, based on N=1, would be ""no"")",,,,,
Emiel Krahmer,2022-10-10T18:11:21Z,"I think it is important to add that roughly half of these 27 find a significant positive and the other half a significant negative effect. This, to me, reinforces the conclusion that ""our best guess is that speakers might not encode typicality in the acoustic signal""",,,,,
Emiel Krahmer,2022-10-10T18:12:54Z,"Here too, I feel that this is primarily consistent with there not being an effect - might be worth pointing this out",,,,,
Emiel Krahmer,2022-10-10T18:14:22Z,"I agree. Additionally, I am not sure why this sentence is what is concluded from the previous one... More unique models are also more marked/less in line with the consensus.",,,,,
Emiel Krahmer,2022-10-10T18:15:52Z,"indeed, not a lot of variation -- to what extent do such small differences fall within the margin of measurement error? Might be interesting to say something about this.",,,,,
Emiel Krahmer,2022-10-10T18:17:35Z,"I am not sure whether this is a bias per se. Researchers can have a theoretical reason to expect an effect of, say, pitch, but that does not necessarily mean that they are biased, right?",,,,,
Emiel Krahmer,2022-10-10T18:19:53Z,"Couldn't also argue that multiple approaches allow for more ""severe testing"" (in the sense proposed by Deborah Mayo)? That is potentially a good thing",,,,,
Emiel Krahmer,2022-10-10T18:21:30Z,"I wonder whether the data here  suggest that selective reporting is an issue (after all: many teams provide multiple models with multiple non-significant findinds). The point is true in general, of course. Come to think of it, it might be interesting to draw a p-curve for this study!",,,,,
Emiel Krahmer,2022-10-10T18:24:35Z,"I agree in general, but playing the devil's advocate: many of the variables researchers can choose will be related (this is clear for min, max, range, SD of F0, but also between, say, pitch and duration) -- so the choice problem (which variables to measure) is perhaps less dramatic than the manuscript currently suggests",,,,,
Emiel Krahmer,2022-10-10T18:32:56Z,"This is a general comment: the paper sometimes reads as if the authors want to highlight the ""wide variability"" between the teams (and there is indeed a lot of variability). At the same, I also see a lot of agreement between analysis teams, and while reading  sometimes felt that a slightly more nuanced discussion of this would be in order.",,,,,
Emiel Krahmer,2022-10-10T18:33:45Z,"BTW: I do want to stress that I really appreciate all the hard work the lead authors put in, and greatly enjoyed reading the manuscript!",,,,,
Emiel van Miltenburg,2022-10-10T09:41:43Z,"I always thought that operationalization applies to constructs (e.g. ""we operationalise stress in terms of an increase in loudness""), not to the signal you use.",,,,,
Emiel van Miltenburg,2022-10-10T09:43:27Z,I'm not sure everyone would agree with this. (One reading of this sentence would amount to admitting that we often carry our questionable research practices.),,,,,
Emiel van Miltenburg,2022-10-10T09:44:43Z,Missing reference.,,,,,
Emiel van Miltenburg,2022-10-10T09:45:04Z,Same here.,,,,,
Emiel van Miltenburg,2022-10-10T09:45:56Z,Also hard to understand how this works in practice. How does a research question impact heterogeneity? (E.g. by being too general and allowing for multiple interpretations?),,,,,
Emiel van Miltenburg,2022-10-10T09:48:38Z,In the PDF version all text in math mode reads as if there's a LaTeX mistake: math mode should be escaped to render the text in a nicer way.,,,,,
Emiel van Miltenburg,2022-10-10T09:51:35Z,"Would be nice to say a bit more about the limitations of your analysis if it cannot account for analyses from 16 teams, and to indicate where (if applicable) data from these teams *was* taken into account",,,,,
Emiel van Miltenburg,2022-10-10T09:52:35Z,During our reviews we found that there was also variation in the extent to which analysts used the entire dataset. Some only used a subset that they considered relevant. This variation is not reported.,,,,,
Emiel van Miltenburg,2022-10-10T09:53:32Z,This echoes the earlier comment by Paul Foulkes. I agree with both comments.,,,,,
Emiel van Miltenburg,2022-10-10T10:03:44Z,"The paper notes that the generalisability of our findings is limited, but it is not made precise what the authors mean by generalisability. The paragraph remains general/vague about this. Generalisable in what sense? What can/cannot others learn from our study? Which parts of the findings *are* generalisable? It would be really nice to have a more detailed discussion about what it means for a study like this to be generalizable, and what it would take to carry out a similar study for more qualitative analyses. You could also refer to Haven & Van Grootel (https://www.tandfonline.com/doi/pdf/10.1080/08989621.2019.1580147) in this context. Their study also provides a framework for thinking about dimensions of variation (although they don't present it as such; for them it's a means to provide transparency and ensure rigour).General remark: At times the paper feels like it wants to stay at a very abstract level, to ensure maximal generalizability, but at the same time this paragraph says the implications don't really extend beyond the speech sciences.",,,,,
Emiel van Miltenburg,2022-10-10T10:15:29Z,"We have a speech scientist on our team, but I wouldn't dare calling myself a speech scientist. Hard to find an alternative though. Perhaps ""language scientists"" or ""linguists"" would be better? (the former term may be more inclusive of psychologists)",,,,,
Emiel van Miltenburg,2022-10-10T10:28:47Z,"Great discussion also in this thread! I'd like to second Jen's concerns, and would also like to point to the limitations section (Caveats) above where the same issue appears. It may be good to reflect a bit more on what generalisability even means for this type of study.Random thought:To some extent it's there already, but maybe we can make this a bit more concrete: if your research question/problem has properties A/B/C, then based on our observations we would recommend that you do X. Like a flow chart or table with advice.",,,,,
Erin Buchanan,2022-10-11T14:20:31Z,"+1, this is slightly awkward as worded",,,,,
Erin Buchanan,2022-10-11T14:32:03Z,+ 1,,,,,
Erin Buchanan,2022-10-11T14:33:58Z,"I'm also commenting here on what 170 means, feels like you need a noun here 170 X from 30 teams",,,,,
Erin Buchanan,2022-10-11T14:36:22Z,"Good question ... since I believe unless I lost my mind during the intake, I would have been over this number",,,,,
Erin Buchanan,2022-10-11T14:46:05Z,"Same - we specifically talked multiple times ... there should be ""one"" number (i.e., effect size) so we shouldn't run a bunch of stuff",,,,,
Erin Buchanan,2022-10-11T14:48:58Z,"+1 to me this feels like the most important section, but I can't totally grasp what it is saying - I know Timo doesn't love mixing results + discussion but maybe a simple interpretation right here to solidify what to expect in the discussion",,,,,
Erin Buchanan,2022-10-11T14:53:19Z,"yipes - basically, this type of research often promotes data exploration until you see it?",,,,,
Erin Buchanan,2022-10-11T14:54:33Z,+1 we spent a lot of time discussing how it was vague :),,,,,
Erin Buchanan,2022-10-11T14:55:31Z,great job guys! Some serious work put in here.,,,,,
Filip Nenadic,2022-10-03T06:06:02Z,Are we certain that all possible combinations are also plausible and can be implemented in practice?,,,,,
Filip Nenadic,2022-10-03T06:18:08Z,"I second this; even if ""to bias an estimate"" is a standard way of saying this, I would rephrase it.",,,,,
Filip Nenadic,2022-10-03T06:42:01Z,"I think we may want to give some credit to or at least mention conceptual replication here. Of course, a conceptual replication that does not yield the same results as the original study might do so for a number of reasons (some of which methodological), but at least it draws attention to a possible bias in the original study design and analysis.",,,,,
Filip Nenadic,2022-10-03T06:48:57Z,"An uninformed reader (like perhaps myself, since I'm raising this issue) may here not be able to distinguish this approach from what we previously discussed in the following: ""Based on our personal experience with research in the field, it is common practice to test as many different types of models, using as many different types of measurements, to answer one research question. When operating within the frequentist inferential framework, testing the same hypothesis with different dependent variables is known to increase the false-positive (Type-I error) rate."" Perhaps it would be good to somehow draw a clearer distinction between the two approaches.",,,,,
Filip Nenadic,2022-10-03T07:14:08Z,"I may be missing the mark here, but I think we should also mention that, along one dimension, this work is a case study (not necessarily in those words). What I mean is -- the amount of observed variability in data preprocessing, analysis options and especially the results might depend on the characteristics of the study design and the dataset. In this work we all ""tested"" a single dataset. We may claim that this particular dataset is standard in the field or representative of speech science studies, but it is still one dataset. I also realize that measures of results variability are discussed, but we do make note that these pass certain thresholds important in the field. If we imagine -- so hypothetically -- that the dataset we used was somehow small or bad or imbalanced, one could imagine (again, hypothetically) that with a larger dataset and a stronger actual effect present within, the observed estimate variation could be similar (or smaller), and that we would conclude that no such thresholds important in the field have been touched despite sizeable differences in the decision trees (in fact, I believe this is one of the things the field currently aims at: showing that a qualitatively described effect exists even under duress of perturbations in methodologies and analyses). Simply put, the number of pipelines and the number of some qualitative biases in interpretation could be expected to differ from study to study and dataset to dataset and I cannot help but wonder just how much variability there is and how this analysis section might have looked had we used a different study. I apologize for the poorly structured comment and if this has been addressed somewhere and I somehow missed it.",,,,,
Filip Nenadic,2022-10-03T07:25:11Z,"I mentioned this above -- but this is perhaps the case only if the effect itself is small or inconsistent or dependent on some other factor the field does not yet account for. Such effects (hopefully) get better described or purged from the literature as the field advances. Although I do agree with this claim, maybe we wouldn't be able to make this claim based on empirical evidence had we used a different dataset.Or in other words -- how frequently are acceptable approaches expected to lead to inconclusive results?I am not sure what could be done about this in the manuscript if anything even should.",,,,,
Filip Nenadic,2022-10-03T07:30:00Z,"I believe it should be mentioned that the researchers were forced choose one analysis in a field where it is standard practice to look at a few, say, dependent variables at the same time (not necessarily in these words). I am not trying to say that the variability isn't or wouldn't still be large, but I think we could have seen some substantial convergence or more overlap if the authors were asked to, e.g., list top three or four analyses they would do.",,,,,
francesco cangemi,2022-10-04T17:53:58Z,"TLWR: Given the results of the team analyses and the premises of the metastudy, I also fear that other readers might be confused at (or irked by) the strong wording of “vastly different answers”, and I suggest to tone it down.Hi all. Apologies for the textwall, but I also have a problem with this sentence, and for two reasons: (a) results and (b) premises. (a)Results. We can’t really say that the answers to the research question are vastly different. We mostly agree on the answer: there is no effect. Where we diverged, is in the paths we took to get to this outcome. Granted, there are a few analyses where some of these paths led to a “positive” result, but even then, there’s at least one case (i.e. periogram analysis) where the positive results were interpreted as linguistically meaningless. And note that in this specific case the pitfall of “yay, significant!” was not avoided thanks to virtuously cautious inferences in the quantitative analysis. It was rather avoided thanks to a close, hard look at the plausibility (from the communicative and linguistic point of view) of the research question and of the dataset collected to answer it. Which brings me to:(b)Premises. At a more fundamental level, I am not sure I find it unhealthy that different analysts opted for different operationalisations of the research question. This is only surprising or problematic if we presuppose a modular approach to research, with neatly separated boxes for Delimitation of research question > Design of study > Collection of data set > Extraction of metrics > Quantitative analyses. In my view, for example, Design interacts with both Delimitation and Extraction. Modularity here (as everywhere else?) is only a wishful oversimplification of how research into human behaviour should work.",,,,,
francesco cangemi,2022-10-04T17:54:07Z,"In other words, I really agree with your mention of Dubin’s (1970, or 1969) on derivation chains – our research should develop the link between conceptual constructs and quantitative system, e.g. the link between how we define typicality and where/how we could expect it to be encoded phonetically. In my view, it is this link that saves us from being overconfident in claiming positive results (and not this or that one statistical technique). However, this link is also severed in this study, and by design. We are handed a dataset harvested according to certain assumptions, and we are expected to make sense of it. In this situation, we cannot own the derivation chain. And still, despite all this, most of us converged on saying that “this dataset offers no robust evidence for a phonetic encoding of typicality”. That’s actually quite impressive!",,,,,
German zarate-sandez,2022-10-01T22:10:19Z,"... f0 minimum or maximum. (ie., eliminate second ""value"". Otherwise, it reads ""measure the value ... of ... the... value"")",,,,,
Hae-Sung Jeon,2022-10-01T09:37:12Z,question mark?,,,,,
Hae-Sung Jeon,2022-10-01T09:46:28Z,I agree. Or just remove 'suprasegmental'.,,,,,
Hae-Sung Jeon,2022-10-01T09:54:08Z,Maybe add some references of influential/wide-cited studies where this method was used. I wouldn't think letting participants interact with an experimenter as a typical methodological choice in the field.,,,,,
Hae-Sung Jeon,2022-10-01T12:16:11Z,👍,,,,,
Hae-Sung Jeon,2022-10-01T12:33:47Z,My interpretation is that some used predictors which were not commonly used in other analyses and therefore 'unique'. (I wonder how those 'unique' (non-conformist) ones did at the review stage.),,,,,
Hae-Sung Jeon,2022-10-01T12:39:54Z,I wholeheartedly agree. The researcher degrees of freedom given the open nature of the research question and the rather unusual design of the dataset here is a positive thing. It's a different issue from the replication 'crisis' that the conclusions are inconsistent despite the use of similar research paradigm across studies.,,,,,
Hae-Sung Jeon,2022-10-01T13:03:40Z,"I agree with Jen's comment above. These findings are valid, probably showing that that speakers didn't do much with f0 for the typicality contrast but formant results were different because different words were used in different typicality conditions. Some teams looked at the former, other teams looked at the latter, so now we have a pretty good picture about that's going on in the data.",,,,,
Hae-Sung Jeon,2022-10-01T13:24:14Z,"The statements from here for the rest of this paragraph sound too general too me, and probably they should be more concretely linked to the present results. Is there evidence that, for instance, non-frequentiest approaches in the present study yielded more consistent results than frequenties approaches?",,,,,
Hae-Sung Jeon,2022-10-01T13:31:57Z,"I agree. I understand that the point of this particular paper is about methods, but there's a lot of useful information collected which is in fact highly relevant to acoustic phonetics. It would be cool to break down the results further to look at the variability within each linguistic domain and also within each acoustic parameter. :)",,,,,
Hae-Sung Jeon,2022-10-01T13:32:59Z,👍,,,,,
Hae-Sung Jeon,2022-10-01T13:37:17Z,"Eh...maybe slightly expand this, or cite references (e.g. Ladd 2008 and therein) to address the phonological, acoustical, and cross-language complexity of word stress? .. And I disagree that this is 'underspecification'.Are there any other examples of 'underspecification' in speech literature?\Are there any good examples to share, which are just rightly specified?",,,,,
Hae-Sung Jeon,2022-10-01T13:38:38Z,"I agree. And looking forward, as a research community, we can collectively come up with important research questions which require large scale studies and replications.",,,,,
Hae-Sung Jeon,2022-10-01T13:39:27Z,"Agreed; the variability here was a natural consequence given the broad research question, the multidimensional nature of speech, and the unusual data design. I don't find the outcomes as concerning as it's described here. :-p",,,,,
Hae-Sung Jeon,2022-10-01T13:42:53Z,How is this relevant to the present study?,,,,,
Hae-Sung Jeon,2022-10-01T13:44:01Z,"The same here. What's exactly the minimum variability, and what is concerning?",,,,,
Hae-Sung Jeon,2022-10-01T14:00:31Z,"Congratulations on this massive achievement! I really enjoyed reading the paper -- good food for thought. If I were a reviewer, I would have said that the discussion and conclusions seemed to be only loosely linked to the analysis. The meta-analysis seems to be too 'meta' to resonate with phonetics folks ;) As Jan says above, I'd have liked to see a more fine-grained analysis in the ideal world.",,,,,
Hae-Sung Jeon,2022-10-03T22:26:51Z,_Marked as resolved_,,,,,
Hae-Sung Jeon,2022-10-03T22:27:32Z,_Marked as resolved_,,,,,
Hae-Sung Jeon,2022-10-03T22:29:44Z,_Re-opened_,,,,,
Hae-Sung Jeon,2022-10-03T22:29:52Z,_Re-opened_,,,,,
Hae-Sung Jeon,2022-10-03T22:44:20Z,"I'd frame the narrative more positively. There are different levels of variability; the between-team variability that we've seen here is healthy. The kind varibilty that I'd be concerned is, something like, different people use different settings or measuring units for f0 or formants presenting different values all claiming that they use Praat, or the same analysis receiving wildy varying review scores. The latter kind of variability has not been analysed in the present paper but the data are available for exploration.",,,,,
Hae-Sung Jeon,2022-10-04T07:42:18Z,"Probably you should highlight in the discussion section that you are interpreting the present results in the context of the current frequentist landscape. Had there been more researcher variability since the early 20th century and not everyone followed the frequentist approach, we would have been better off now..",,,,,
Hans Westerbeek,2022-10-11T16:06:04Z,Agreed,,,,,
Hans Westerbeek,2022-10-11T16:07:15Z,This title makes clear that making an estimation (i.e. providing descriptive statistics) is the main goal of the article. The actual goals as described further on in the introduction however are a little bit less clear to me.,,,,,
Hans Westerbeek,2022-10-11T16:09:14Z,"I find it a little hard to follow the goals, especially goal ii. If previous studies have established that there is vast variation between analysts and analyses (with differing consequences), what is the reason to replicate this in a domain that might elicit even more variation? I feel that this is highly interesting, but I am afraid that the argument as to why this is the case is missing at the moment.",,,,,
